reference_number,gazetted_name,alias_local_name,site,location,ef,date,time_start,crew_members,length_surveyed,hab_value,priority,upstream_habitat_length_m,species_codes,waypoint,comments
1,Tea Creek,8300095_us,,,,2022-09-09,15:47,MW,600,Medium,high,,,,Moderate value habitat. Only a few areas with fines suitable for spawning. Mostly cobbles in stream. Wide channel throughout with a lot of woody debris. Large amounts of undercut banks that can provide cover. But not many deep pools. Some steep eroding banks found every  so often. 15:47:55
2,Tributary to Skeena River,8301485_ds,,,,2022-09-10,10:13,MW,300,,,,,,"Mostly wetland habitat, with 3 big beaver dams spaced evenly along surveyed length. Multiple channels after first beaver dam, separated by heavily vegetated banks. Muddy bed material with some fines and gravels but nothing bigger. More gravels closer to downstream culvert that are suitable for spawning. Deep pools near wetland that can be suitable for rearing if habitat is opened up. 10:13:24"
3,Tributary to Skeena River,8300054_ds,,,,2022-09-10,11:40,MW,,,,,,,Open wetland habitat with shrubs and floodplain. Beaver dam approx 100m downstream of culvert. 11:40:52
4,Tributary to Kispiox River,8300042_us,,,,2022-09-10,12:58,MW,800,Medium,moderate,,,,"Moderate value habitat. Numerous cascades that are approx 1m in height, with deep pools below. Wide stream throughout. A lot of large woody debris over stream. Dam upstream. Average gradient of 7. Trace areas with gravels that could be suitable for spawning. 12:58:40"
5,Tributary to Kispiox River,8300042_ds,,,,2022-09-10,14:38,MW,60,,,,,,Steep stretch but good moderate value habitat. Mostly cobbles with some gravels. One cascade that's 1m in height that could block fish from coming up. 14:38:38
6,Sandstone Creek,8530_us,,,,2022-09-12,11:23,MW,600,,high,,,,"Moderate value habitat. Abundant cover from woody debris, overhanging veg and undercut banks. Wide channel throughout with graveled areas suitable for spawning. Trace distribution of deep pools suitable for rearing. A couple smaller cascades (<1m in height) thar may block smaller fish. 11:23:33"
7,Sandstone Creek,8530_ds_ef2,,,,2022-09-12,13:58,MW,15,,,,,,Bedrock pools at top end of site. Cascade and riffle pools with lots of cover. 13:58:20
8,Sandstone Creek,8530__ds_ef3,,,,2022-09-12,14:39,MW,11,,,,,,"Mostly riffles, steep section. Some deep pools at top end of site where the channel is much wider. Mostly cobbles with some gravels and boulders. 14:39:58"
9,Pinenut Creek,8302257_ds,,,,2022-09-08,13:29,Bute,,,,,,,13:29:27
10,Pinenut Creek,8302257_us,,,,2022-09-08,13:44,AI,650,Medium,high,,,,"DJ is recorded as falls on form.  Medium value habitat for ST, DV, CCT and CO. Approximately 500m upstream of crossing. This is a high energy system with numerous areas of multiple channel and islands and elevated bars. High flows are pushing most large woody debris out of the main channel resulting in lower complexity and most cover available as boulders. there are rare pockets of gravel suitable for spawning. 13:44:56"
11,Tributary to Skeena River,8301485_us,,,,2022-09-10,10:10,Bute,300,High,high,,,,"High value habitat. Abundant gravels suitable for CO, ST, RB spawning. Local knowledge of historic CO spawning in system. Multiple large beaver dams in site. Stream flows adjacent to community of Glen Valle and supplies community drinking water. Upstream end of site was u/s of beaver dam complex on southern tributary. 10:10"
12,Tributary to Skeena River,831405_us2,,,,2022-09-09,11:51,AI,100,Medium,,,,,"Medium value habitat. This is upstream tributary to main stream that enters, beaver dam complex. Steeper, smaller stream with extensive areas of gravel suitable for resident and anadronous salmonids. Multiple small steps from LWD/SWD at 20-40cm high. Amazing old growth riparian forest. 11:51"
13,Tributary to Skeena River,831405_us3,,,,2022-09-09,12:30,AI,275,High,,,,,"High value habitat. This is major contributing tributary to downstream flow. Abundant gravels suitable for spawning, sporadic pools suitable for juvenile CO/ST overwintering. Mature old growth mixed riparian providing stable channel and LWD. Wildlife trails throughout forest. 12:30"
14,Tributary to Kitwanga River,8301994_us,,,,2022-09-09,14:48,AI,500,High,high,,,,"SFC site. See their notes. High value habitat, abundant gravels suitable for resident and anadronous spawning. Debris in downstream section potentially an access issue. Frequent pools due to LWD in canyon that was not logged. 14:48"
